ID;X;Y;CATEGORY;STORE
255;1481916;6876749;RET;Bestseller
256;1496088;6870515;RET;Christ
257;1496117;6870602;RET;Orion
258;1514989;6874362;RET;Mäc Geiz
259;1510877;6887188;RET;Weltbild
260;1490501;6898218;RET;McPaper
261;1492452;6894717;RET;Mäc Geiz
262;1485631;6891633;RET;Mäc Geiz
263;1467489;6887840;RET;Woolworth
264;1469896;6890149;RET;TOYS''R''US
265;1452894;6863763;RET;Blume 2000
266;1452970;6863757;RET;Das Depot
268;1563592;6857763;RET;Mäc Geiz
269;1512664;6849677;RET;myToys
271;1474551;7071520;RET;Orion
272;1348552;7178810;RET;McPaper
273;1451586;7222947;RET;Hugendubel
274;1268824;7092188;RET;Hugendubel
275;1108279;7083048;RET;Egesa Zookauf
276;1110706;7060056;RET;Karstadt
277;1095345;7062865;RET;Krümet Sonderposten-Märkte
279;1157422;7021382;RET;Bestseller
280;1134968;7040550;RET;ZEG
281;1119546;7081683;RET;Weltbild
282;1115687;7081987;RET;Euroshop
283;1112717;7092816;RET;Hermes
284;1101361;7088251;RET;McPaper
285;1104573;7077894;RET;Bestseller
286;1110254;7102622;RET;Bijou Brigitte
287;1110285;7102586;RET;Karstadt
288;1138447;7100465;RET;Christ
289;1146385;7153016;RET;ZOO & Co.
290;1188746;7089839;RET;idee+spiel
292;1124080;7220591;RET;Orion
293;1074504;7220041;RET;Bijou Brigitte
294;1044775;7309799;RET;Butlers
295;1073611;7115650;RET;Bijou Brigitte
296;1089745;7098205;RET;Woolworth
297;1101621;7097342;RET;Krümet Sonderposten-Märkte
298;1010909;7198573;RET;Woolworth
299;794337;7106786;RET;Bijou Brigitte
300;829888;7018206;RET;Woolworth
301;1010125;6967049;RET;Egesa Zookauf
302;966371;7132745;RET;Das Depot
304;973057;6995864;RET;NANU-NANA
305;1174297;6968781;RET;Bertelsmann Der Club
306;1082407;6860558;RET;Euroshop
307;1091295;6847937;RET;Woolworth
308;1052302;6848437;RET;AngelSpezi
309;1008112;6922254;RET;Egesa Zookauf
311;1040366;6811508;RET;Bestseller
312;1000153;6860203;RET;AngelSpezi
313;979857;6830733;RET;Weltbild
314;1011211;6768149;RET;VEDES
315;952001;6750083;RET;idee+spiel
316;915401;6785492;RET;Egesa Zookauf
317;1002487;6583230;RET;idee+spiel
318;964556;6541134;RET;Euroshop
319;962286;6541248;RET;Karstadt
320;961928;6532583;RET;Beate Uhse
321;1139725;6743558;RET;Mäc Geiz
322;1114647;6769078;RET;Mäc Geiz
323;1171449;6822080;RET;Das Depot
324;1207449;6870805;RET;Egesa Zookauf
325;1172786;6880655;RET;McPaper
326;1199206;6762524;RET;Blume 2000
327;1294094;6816108;RET;Bijou Brigitte
328;1293901;6816783;RET;Zeeman
329;1249870;6797994;RET;Pfennigpfeiffer
330;753270;6653479;RET;Butlers
332;753823;6655930;RET;Bijou Brigitte
333;772926;6633772;RET;Zeeman
334;772729;6630544;RET;Egesa Zookauf
335;712662;6647257;RET;ZEG
336;716410;6643291;RET;McPaper
337;760785;6630413;RET;Bijou Brigitte
338;757624;6630181;RET;Blumen Risse
339;794871;6659346;RET;Weltbild
340;800451;6661919;RET;Bijou Brigitte
341;799461;6645871;RET;Zeeman
342;836189;6715075;RET;Thomas Philipps Sonderpostenmärkte
343;803322;6709571;RET;McPaper
344;802712;6699153;RET;idee+spiel
345;809893;6701775;RET;Swatch
346;793645;6699223;RET;Blumen Risse
347;775558;6695851;RET;idee+spiel
348;779245;6702225;RET;Das Depot
350;773225;6691932;RET;Bijou Brigitte
351;800370;6723011;RET;Das Depot
353;765049;6700910;RET;Bestseller
354;770084;6706747;RET;Euroshop
355;749104;6713893;RET;Bestseller
356;683741;6753629;RET;Thomas Philipps Sonderpostenmärkte
357;739397;6676712;RET;Blumen Risse
358;714002;6678500;RET;idee+spiel
359;848584;6785706;RET;TKMaxx
360;888386;6783855;RET;Bijou Brigitte
361;888999;6783301;RET;ZOO & Co.
362;786217;6871671;RET;Weltbild
363;773509;6602889;RET;Christ
364;773697;6602738;RET;NANU-NANA
365;773501;6603066;RET;Bestseller
366;766924;6617752;RET;McPaper
367;763389;6610316;RET;Zeeman
368;760094;6602955;RET;Christ
369;778147;6602863;RET;Shopping-Center
370;792263;6612182;RET;Bijou Brigitte
371;792575;6612335;RET;idee+spiel
373;795391;6558150;RET;Christ
374;754910;6554209;RET;NANU-NANA
375;731159;6533787;RET;Das Depot
376;741810;6489681;RET;idee+spiel
377;919893;6439132;RET;Christ
378;838327;6435974;RET;ROFU Kinderland
379;844134;6501287;RET;Shopping-Center
380;891346;6591823;RET;Bestseller
381;860513;6575539;RET;Zeeman
382;868630;6735159;RET;Bestseller
383;827734;6751213;RET;VEDES
384;901502;6715580;RET;Zeeman
385;930193;6733251;RET;VEDES
386;964481;6458954;RET;Das Depot
387;961474;6460220;RET;Blume 2000
388;957826;6478624;RET;Hugendubel
389;967357;6447519;RET;Bestseller
390;991761;6462093;RET;VEDES
391;991341;6461986;RET;Zeeman
392;1009254;6413132;RET;ROFU Kinderland
393;962067;6416679;RET;Montblanc
394;950746;6382379;RET;ZEG
